Temp (C) -2h,Dew Point Temp (C) -2h,Rel Hum (%) -2h,Wind Dir (10s deg) -2h,Wind Spd (km/h) -2h,Visibility (km) -2h,Stn Press (kPa) -2h,Weather -2h,Temp (C) -1h,Dew Point Temp (C) -1h,Rel Hum (%) -1h,Wind Dir (10s deg) -1h,Wind Spd (km/h) -1h,Visibility (km) -1h,Stn Press (kPa) -1h,Weather -1h,Weather
4.6,4.1,96,34,4,24.1,101.02,FALSE,4.3,4,98,36,3,24.1,101.13,FALSE,FALSE
4.3,4,98,36,3,24.1,101.13,FALSE,4.4,4.2,98,34,4,24.1,101.28,FALSE,FALSE
4.4,4.2,98,34,4,24.1,101.28,FALSE,3.2,3,98,15,5,17.7,101.44,FALSE,FALSE
3.2,3,98,15,5,17.7,101.44,FALSE,5.2,4.9,98,13,6,24.1,101.57,FALSE,FALSE
5.2,4.9,98,13,6,24.1,101.57,FALSE,4.2,3.9,98,9,10,24.1,101.63,FALSE,FALSE
4.2,3.9,98,9,10,24.1,101.63,FALSE,2.8,2.5,98,8,12,24.1,101.67,FALSE,FALSE
2.8,2.5,98,8,12,24.1,101.67,FALSE,3.8,3.5,97,9,17,24.1,101.66,FALSE,FALSE
3.8,3.5,97,9,17,24.1,101.66,FALSE,4.5,3.9,96,9,14,24.1,101.72,FALSE,FALSE
4.5,3.9,96,9,14,24.1,101.72,FALSE,5.1,4.2,94,8,18,24.1,101.66,FALSE,FALSE
5.1,4.2,94,8,18,24.1,101.66,FALSE,5.5,4.2,91,8,16,24.1,101.61,FALSE,FALSE
5.5,4.2,91,8,16,24.1,101.61,FALSE,5.9,4.2,89,9,20,24.1,101.65,FALSE,TRUE
5.9,4.2,89,9,20,24.1,101.65,FALSE,6.1,4.4,89,10,21,16.1,101.72,TRUE,TRUE
6.1,4.4,89,10,21,16.1,101.72,TRUE,6.4,4.8,89,9,30,24.1,101.6,TRUE,TRUE
6.4,4.8,89,9,30,24.1,101.6,TRUE,6.5,4.8,89,8,23,16.1,101.51,TRUE,TRUE
6.5,4.8,89,8,23,16.1,101.51,TRUE,6.2,5,92,9,22,16.1,101.45,TRUE,TRUE
6.2,5,92,9,22,16.1,101.45,TRUE,6.3,4.9,91,8,28,4.8,101.35,TRUE,TRUE
6.3,4.9,91,8,28,4.8,101.35,TRUE,5.9,5,94,10,34,4.8,101.22,TRUE,TRUE
5.9,5,94,10,34,4.8,101.22,TRUE,5.9,5,94,10,37,4.8,101.17,TRUE,TRUE
5.9,5,94,10,37,4.8,101.17,TRUE,5.8,4.8,93,9,26,6.4,101.08,TRUE,TRUE
5.8,4.8,93,9,26,6.4,101.08,TRUE,5.5,4.6,94,8,36,6.4,100.94,TRUE,TRUE
5.5,4.6,94,8,36,6.4,100.94,TRUE,5.8,4.8,94,9,31,9.7,100.93,TRUE,TRUE
5.8,4.8,94,9,31,9.7,100.93,TRUE,6.2,5.4,94,10,31,24.1,100.87,TRUE,TRUE
6.2,5.4,94,10,31,24.1,100.87,TRUE,6.9,5.5,91,10,26,11.3,100.83,TRUE,TRUE
6.9,5.5,91,10,26,11.3,100.83,TRUE,7.6,6.4,92,14,28,11.3,100.88,TRUE,TRUE
7.6,6.4,92,14,28,11.3,100.88,TRUE,7.4,6.2,92,16,30,24.1,100.9,TRUE,TRUE
7.4,6.2,92,16,30,24.1,100.9,TRUE,7.4,6.2,92,15,32,24.1,100.93,TRUE,FALSE
7.4,6.2,92,15,32,24.1,100.93,TRUE,7.6,6.2,91,14,32,24.1,101.04,FALSE,FALSE
7.6,6.2,91,14,32,24.1,101.04,FALSE,7.4,6,91,14,26,24.1,101.07,FALSE,FALSE
7.4,6,91,14,26,24.1,101.07,FALSE,7.6,6.2,91,15,28,24.1,101.17,FALSE,FALSE
7.6,6.2,91,15,28,24.1,101.17,FALSE,7.5,6.3,92,15,22,24.1,101.24,FALSE,FALSE
7.5,6.3,92,15,22,24.1,101.24,FALSE,7.1,6,93,15,24,24.1,101.28,FALSE,FALSE
7.1,6,93,15,24,24.1,101.28,FALSE,6.9,5.6,92,14,16,24.1,101.31,FALSE,FALSE
6.9,5.6,92,14,16,24.1,101.31,FALSE,6.7,5.6,92,9,16,24.1,101.38,FALSE,FALSE
6.7,5.6,92,9,16,24.1,101.38,FALSE,6.2,5.1,93,12,8,32.2,101.44,FALSE,FALSE
6.2,5.1,93,12,8,32.2,101.44,FALSE,7,5.9,93,12,17,32.2,101.52,FALSE,FALSE
7,5.9,93,12,17,32.2,101.52,FALSE,6.8,5.7,93,9,13,32.2,101.59,FALSE,FALSE
6.8,5.7,93,9,13,32.2,101.59,FALSE,8.3,6.6,89,11,16,32.2,101.67,FALSE,FALSE
8.3,6.6,89,11,16,32.2,101.67,FALSE,9,6.8,86,9,14,32.2,101.71,FALSE,FALSE
9,6.8,86,9,14,32.2,101.71,FALSE,9.4,6.6,82,12,15,32.2,101.71,FALSE,FALSE
9.4,6.6,82,12,15,32.2,101.71,FALSE,9.6,6.3,80,10,20,32.2,101.68,FALSE,FALSE
9.6,6.3,80,10,20,32.2,101.68,FALSE,9.9,6.1,77,11,21,32.2,101.66,FALSE,FALSE
9.9,6.1,77,11,21,32.2,101.66,FALSE,9.2,5.3,77,14,13,32.2,101.68,FALSE,FALSE
9.2,5.3,77,14,13,32.2,101.68,FALSE,8.3,5.5,82,13,5,32.2,101.67,FALSE,FALSE
8.3,5.5,82,13,5,32.2,101.67,FALSE,7.7,5.1,83,5,8,32.2,101.63,FALSE,FALSE
7.7,5.1,83,5,8,32.2,101.63,FALSE,6.4,4.4,87,4,7,32.2,101.68,FALSE,FALSE
6.4,4.4,87,4,7,32.2,101.68,FALSE,5,4,94,28,11,32.2,101.8,FALSE,FALSE
5,4,94,28,11,32.2,101.8,FALSE,4.9,4.4,96,28,10,32.2,101.86,FALSE,FALSE
4.9,4.4,96,28,10,32.2,101.86,FALSE,4.4,4,97,6,4,32.2,101.9,FALSE,FALSE
4.4,4,97,6,4,32.2,101.9,FALSE,4.3,3.8,97,9,11,32.2,101.94,FALSE,FALSE
4.3,3.8,97,9,11,32.2,101.94,FALSE,4.3,3.1,92,9,3,32.2,102.01,FALSE,FALSE
4.3,3.1,92,9,3,32.2,102.01,FALSE,3.3,2.5,94,36,1,32.2,102.12,FALSE,FALSE
3.3,2.5,94,36,1,32.2,102.12,FALSE,2.2,1.7,97,36,3,32.2,102.2,FALSE,FALSE
2.2,1.7,97,36,3,32.2,102.2,FALSE,3.8,3.4,97,7,7,32.2,102.26,FALSE,FALSE
3.8,3.4,97,7,7,32.2,102.26,FALSE,3.3,2.8,97,9,6,32.2,102.3,FALSE,FALSE
3.3,2.8,97,9,6,32.2,102.3,FALSE,3.8,3.2,96,9,7,32.2,102.39,FALSE,FALSE
3.8,3.2,96,9,7,32.2,102.39,FALSE,4.1,3.5,96,7,9,32.2,102.44,FALSE,FALSE
4.1,3.5,96,7,9,32.2,102.44,FALSE,4.2,3.4,94,9,16,32.2,102.51,FALSE,FALSE
4.2,3.4,94,9,16,32.2,102.51,FALSE,3.6,2.8,95,10,16,32.2,102.5,FALSE,FALSE
3.6,2.8,95,10,16,32.2,102.5,FALSE,4.4,3.6,95,8,14,32.2,102.5,FALSE,FALSE
4.4,3.6,95,8,14,32.2,102.5,FALSE,4.9,3.5,90,10,16,32.2,102.51,FALSE,FALSE
4.9,3.5,90,10,16,32.2,102.51,FALSE,5.5,3.7,88,9,16,32.2,102.58,FALSE,FALSE
5.5,3.7,88,9,16,32.2,102.58,FALSE,6,4.1,87,12,14,32.2,102.57,FALSE,FALSE
6,4.1,87,12,14,32.2,102.57,FALSE,7,4.5,84,7,7,32.2,102.52,FALSE,FALSE
7,4.5,84,7,7,32.2,102.52,FALSE,8,4.9,81,8,14,32.2,102.42,FALSE,FALSE
8,4.9,81,8,14,32.2,102.42,FALSE,8.6,4.9,78,8,11,32.2,102.34,FALSE,FALSE
8.6,4.9,78,8,11,32.2,102.34,FALSE,8,4.4,78,10,16,32.2,102.25,FALSE,FALSE
8,4.4,78,10,16,32.2,102.25,FALSE,7.3,3.8,78,9,16,32.2,102.12,FALSE,FALSE
7.3,3.8,78,9,16,32.2,102.12,FALSE,5.8,2.8,81,9,11,32.2,102.01,FALSE,FALSE
5.8,2.8,81,9,11,32.2,102.01,FALSE,5.9,2.7,80,8,14,32.2,101.89,FALSE,FALSE
5.9,2.7,80,8,14,32.2,101.89,FALSE,4.9,2.1,82,11,14,32.2,101.83,FALSE,FALSE
4.9,2.1,82,11,14,32.2,101.83,FALSE,4.3,1.4,81,10,10,32.2,101.75,FALSE,FALSE
4.3,1.4,81,10,10,32.2,101.75,FALSE,3.6,0.9,82,9,17,32.2,101.69,FALSE,FALSE
3.6,0.9,82,9,17,32.2,101.69,FALSE,5.4,1.5,76,8,16,32.2,101.63,FALSE,FALSE
5.4,1.5,76,8,16,32.2,101.63,FALSE,5.2,1.2,75,9,16,32.2,101.58,FALSE,FALSE
5.2,1.2,75,9,16,32.2,101.58,FALSE,4.8,1.2,77,10,23,32.2,101.5,FALSE,FALSE
4.8,1.2,77,10,23,32.2,101.5,FALSE,5.3,0.9,73,9,22,32.2,101.44,FALSE,FALSE
5.3,0.9,73,9,22,32.2,101.44,FALSE,4,0.6,78,9,13,32.2,101.47,FALSE,FALSE
4,0.6,78,9,13,32.2,101.47,FALSE,4.6,1,77,9,7,32.2,101.48,FALSE,FALSE
4.6,1,77,9,7,32.2,101.48,FALSE,3.9,2,87,36,2,32.2,101.63,FALSE,TRUE
3.9,2,87,36,2,32.2,101.63,FALSE,5.8,2.7,80,12,18,24.1,101.69,TRUE,TRUE
5.8,2.7,80,12,18,24.1,101.69,TRUE,6.1,3.5,83,6,17,19.3,101.72,TRUE,TRUE
6.1,3.5,83,6,17,19.3,101.72,TRUE,5.8,4.3,90,5,18,19.3,101.8,TRUE,TRUE
5.8,4.3,90,5,18,19.3,101.8,TRUE,5.8,4.5,92,6,19,19.3,101.94,TRUE,TRUE
